TM_FC,TM_EF,TM_IN,STN,REG_ID,WRN,LVL,CMD,GRD,CNT,REGION_NAME,alert_type,alert_level,cmd_label,TTL
202603311000,202603311000,202603310943,159,L1082600,W,2,3,00,4,부산중부,강풍,주의보,해제,강풍 주의보
202603311000,202603311200,202603310942,159,S1311400,V,2,3,00,4,거제시동부앞바다,풍랑,주의보,해제,풍랑 주의보
202603311100,202603311100,202603311041,184,L1090800,W,2,3,00,4,제주도동부,강풍,주의보,해제,강풍 주의보
202603311100,202603311100,202603311041,184,L1090600,W,2,3,00,4,제주도서부,강풍,주의보,해제,강풍 주의보
202603311100,202603311100,202603311041,184,L1090500,W,2,3,00,4,제주도산지,강풍,주의보,해제,강풍 주의보
202603311100,202603311100,202603311041,184,L1091200,W,2,3,00,4,제주도남부중산간,강풍,주의보,해제,강풍 주의보
202603311100,202603311100,202603311041,184,L1091100,W,2,3,00,4,제주도북부중산간,강풍,주의보,해제,강풍 주의보
202603311100,202603311300,202603311042,184,S1323300,V,2,3,00,4,제주도남부앞바다,풍랑,주의보,해제,풍랑 주의보
202603311100,202603311300,202603311042,184,S1323200,V,2,3,00,4,제주도동부앞바다,풍랑,주의보,해제,풍랑 주의보
202603311100,202603311300,202603311042,184,S1323400,V,2,3,00,4,제주도서부앞바다,풍랑,주의보,해제,풍랑 주의보
202603311200,202603311300,202603311137,143,S1131200,V,2,6,00,4,경북남부앞바다,풍랑,주의보,변경,풍랑 주의보
202603311200,202603311400,202603311158,143,S1132210,V,2,6,00,4,동해남부북쪽안쪽먼바다,풍랑,주의보,변경,풍랑 주의보
202603311600,202603311600,202603311530,143,L1072500,W,2,3,00,4,경주시,강풍,주의보,해제,강풍 주의보
202603311600,202603311600,202603311531,143,L1072100,W,2,6,00,4,울릉도.독도,강풍,주의보,변경,강풍 주의보
202603311600,202603311600,202603311530,143,L1072310,W,2,3,00,4,울진군평지,강풍,주의보,해제,강풍 주의보
202603311600,202603311600,202603311530,143,L1072200,W,2,3,00,4,영덕군,강풍,주의보,해제,강풍 주의보
202603311600,202603311600,202603311530,143,L1072400,W,2,3,00,4,포항시,강풍,주의보,해제,강풍 주의보
202603311600,202603311700,202603311531,143,S1132220,V,2,6,00,4,동해남부북쪽바깥먼바다,풍랑,주의보,변경,풍랑 주의보
