지역,날짜,시간,기온,풍속,습도,강수량,체감온도,온도지수,forecast_base_time,forecast_target_time,collected_at
연천,3/31,00,13.0,1.9,65.0,0.0,12.7,9.7,2026-03-30 23:00:00,2026-03-31 00:00:00,2026-03-31 17:12:21
연천,3/31,01,13.0,2.4,75.0,0.0,12.4,9.4,2026-03-30 23:00:00,2026-03-31 01:00:00,2026-03-31 17:12:21
연천,3/31,02,12.0,3.1,70.0,0.0,10.9,7.9,2026-03-30 23:00:00,2026-03-31 02:00:00,2026-03-31 17:12:21
연천,3/31,03,12.0,3.7,65.0,0.0,10.6,7.6,2026-03-30 23:00:00,2026-03-31 03:00:00,2026-03-31 17:12:21
연천,3/31,04,10.0,3.6,70.0,0.0,8.2,5.2,2026-03-30 23:00:00,2026-03-31 04:00:00,2026-03-31 17:12:21
연천,3/31,05,10.0,3.7,70.0,0.0,8.1,5.1,2026-03-30 23:00:00,2026-03-31 05:00:00,2026-03-31 17:12:21
연천,3/31,06,8.0,3.5,65.0,0.0,5.8,2.8,2026-03-30 23:00:00,2026-03-31 06:00:00,2026-03-31 17:12:21
연천,3/31,07,8.0,3.6,65.0,0.0,5.7,2.7,2026-03-30 23:00:00,2026-03-31 07:00:00,2026-03-31 17:12:21
연천,3/31,08,9.0,4.1,60.0,0.0,6.7,3.7,2026-03-30 23:00:00,2026-03-31 08:00:00,2026-03-31 17:12:21
연천,3/31,09,11.0,5.2,55.0,0.0,8.8,5.8,2026-03-30 23:00:00,2026-03-31 09:00:00,2026-03-31 17:12:21
연천,3/31,10,14.0,5.3,45.0,0.0,12.5,9.5,2026-03-30 23:00:00,2026-03-31 10:00:00,2026-03-31 17:12:21
연천,3/31,11,16.0,5.2,40.0,0.0,15.0,12.0,2026-03-30 23:00:00,2026-03-31 11:00:00,2026-03-31 17:12:21
연천,3/31,12,17.0,4.3,40.0,0.0,16.5,13.5,2026-03-30 23:00:00,2026-03-31 12:00:00,2026-03-31 17:12:21
연천,3/31,13,18.0,3.4,35.0,0.0,18.0,15.0,2026-03-30 23:00:00,2026-03-31 13:00:00,2026-03-31 17:12:21
연천,3/31,14,19.0,3.0,35.0,0.0,19.3,16.3,2026-03-30 23:00:00,2026-03-31 14:00:00,2026-03-31 17:12:21
연천,3/31,15,19.0,2.5,35.0,0.0,19.5,16.5,2026-03-30 23:00:00,2026-03-31 15:00:00,2026-03-31 17:12:21
연천,3/31,16,19.0,2.0,40.0,0.0,19.7,16.7,2026-03-30 23:00:00,2026-03-31 16:00:00,2026-03-31 17:12:21
연천,3/31,17,19.0,1.8,40.0,0.0,19.8,16.8,2026-03-30 23:00:00,2026-03-31 17:00:00,2026-03-31 17:12:21
